"url","http_status","title","meta_description","canonical_url","h1","robots_directives","open_graph_metadata","social_metadata","structured_data","captured_at_utc","qa_status","notes"
"https://www.40daysofholiness.com/","200","Holiness Bible Study | 40 Days of Holiness","Pursuing Holiness is about the holiness of God, what holiness means, and how we can grow in holiness. This 40-day discipleship journey for growing Christians helps you see the beauty of God","https://www.40daysofholiness.com/","Welcome to 40 Days of Holiness!","","{""og:title"":""Holiness Bible Study | 40 Days of Holiness"",""og:description"":""Pursuing Holiness is about the holiness of God, what holiness means, and how we can grow in holiness. This 40-day discipleship journey for growing Christians helps you see the beauty of God"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Holiness Bible Study | 40 Days of Holiness"",""twitter:description"":""Pursuing Holiness is about the holiness of God, what holiness means, and how we can grow in holiness. This 40-day discipleship journey for growing Christians helps you see the beauty of God"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","{""@context"":""https://schema.org/"",""@type"":""WebSite"",""url"":""https://www.40daysofholiness.com/"",""potentialAction"":{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint"",""urlTemplate"":""https://www.40daysofholiness.com/search?q={search_term}""},""query-input"":""required name=search_term""}} | {""@context"":""https://schema.org/"",""@type"":""WebSite"",""name"":""40 Days of Holiness"",""url"":""https://www.40daysofholiness.com""}","2026-08-25T06:46:33.413Z","NOT_TESTED",""
"https://www.40daysofholiness.com/blank","200","New Page | 40 Days of Holiness","","https://www.40daysofholiness.com/blank","","","{""og:title"":""New Page | 40 Days of Holiness"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/blank"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""New Page | 40 Days of Holiness"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:34.334Z","NOT_TESTED",""
"https://www.40daysofholiness.com/blog","200","Blog | 40 Days of Holiness","","https://www.40daysofholiness.com/blog","","","{""og:title"":""Blog | 40 Days of Holiness"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/blog"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Blog | 40 Days of Holiness"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:34.540Z","NOT_TESTED",""
"https://www.40daysofholiness.com/congrats","200","Congratulations!","You made it through 40 Days of Holiness!","https://www.40daysofholiness.com/congrats","Congratulations!","noindex","{""og:title"":""Congratulations!"",""og:description"":""You made it through 40 Days of Holiness!"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/congrats"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Congratulations!"",""twitter:description"":""You made it through 40 Days of Holiness!"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:35.205Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day01","200","Day 1 - God Is Holy | 40 Days of Holiness","God alone is holy. God is the source and definition of holiness. He is above, pure, and other than everything else. His moral excellence and purity is limitless. The video resources on this page help us learn what holiness means in Scripture, and what it the holiness of God means in theology.","https://www.40daysofholiness.com/day01","Day 1 - God is Holy","","{""og:title"":""Day 1 - God Is Holy | 40 Days of Holiness"",""og:description"":""God alone is holy. God is the source and definition of holiness. He is above, pure, and other than everything else. His moral excellence and purity is limitless. The video resources on this page help us learn what holiness means in Scripture, and what it the holiness of God means in theology."",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day01"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 1 - God Is Holy | 40 Days of Holiness"",""twitter:description"":""God alone is holy. God is the source and definition of holiness. He is above, pure, and other than everything else. His moral excellence and purity is limitless. The video resources on this page help us learn what holiness means in Scripture, and what it the holiness of God means in theology."",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:35.348Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day02","200","Day 2 - All Things are Holy only as related to God | 40 Days of Holiness","The holiness of God is the only true source of holiness in the universe. God is the definition of holiness, and everything and everyone else can only be holy as they are connected to God.","https://www.40daysofholiness.com/day02","Day 2 - All Holiness comes from God","","{""og:title"":""Day 2 - All Things are Holy only as related to God | 40 Days of Holiness"",""og:description"":""The holiness of God is the only true source of holiness in the universe. God is the definition of holiness, and everything and everyone else can only be holy as they are connected to God."",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day02"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 2 - All Things are Holy only as related to God | 40 Days of Holiness"",""twitter:description"":""The holiness of God is the only true source of holiness in the universe. God is the definition of holiness, and everything and everyone else can only be holy as they are connected to God."",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:35.923Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day03","200","Day 3 - Sin Separates from Holiness | 40 Days of Holiness","If we are to pursue holiness and being holy like God is holy, we must recognize that sin separates us from God","https://www.40daysofholiness.com/day03","Day 3 - Sin Separates from Holiness","","{""og:title"":""Day 3 - Sin Separates from Holiness | 40 Days of Holiness"",""og:description"":""If we are to pursue holiness and being holy like God is holy, we must recognize that sin separates us from God"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day03"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 3 - Sin Separates from Holiness | 40 Days of Holiness"",""twitter:description"":""If we are to pursue holiness and being holy like God is holy, we must recognize that sin separates us from God"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:36.039Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day04","200","Day 4 - God Planned to Make us Holy | 40 Days of Holiness","If you","https://www.40daysofholiness.com/day04","Day 4 - God Wanted to Make Us Holy","","{""og:title"":""Day 4 - God Planned to Make us Holy | 40 Days of Holiness"",""og:description"":""If you"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day04"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 4 - God Planned to Make us Holy | 40 Days of Holiness"",""twitter:description"":""If you"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:36.534Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day05","200","Day 3 - Jesus is The Perfect Example of Holiness | 40 Days of Holiness","Jesus Christ is the walking, living definition of holiness in human form. You can","https://www.40daysofholiness.com/day05","Day 5 - Jesus is an Example of Human Holiness","","{""og:title"":""Day 3 - Jesus is The Perfect Example of Holiness | 40 Days of Holiness"",""og:description"":""Jesus Christ is the walking, living definition of holiness in human form. You can"",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day05"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 3 - Jesus is The Perfect Example of Holiness | 40 Days of Holiness"",""twitter:description"":""Jesus Christ is the walking, living definition of holiness in human form. You can"",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:36.668Z","NOT_TESTED",""
"https://www.40daysofholiness.com/day06","200","Day 6 - God saves his people for holiness. | 40 Days of Holiness","The Exodus comes before the Covenant of Holiness. God delivers his people from slavery by his grace and power, then makes his covenant of holiness with them afterwards. This Bible study on holiness and sanctification helps us to understand that all of salvation and holiness is by grace and through faith.","https://www.40daysofholiness.com/day06","Day 6 - God saves His People for Holiness.","","{""og:title"":""Day 6 - God saves his people for holiness. | 40 Days of Holiness"",""og:description"":""The Exodus comes before the Covenant of Holiness. God delivers his people from slavery by his grace and power, then makes his covenant of holiness with them afterwards. This Bible study on holiness and sanctification helps us to understand that all of salvation and holiness is by grace and through faith."",""og:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.40daysofholiness.com/day06"",""og:site_name"":""40 Days of Holiness"",""og:type"":""website""}","{""twitter:card"":""summary_large_image"",""twitter:title"":""Day 6 - God saves his people for holiness. | 40 Days of Holiness"",""twitter:description"":""The Exodus comes before the Covenant of Holiness. God delivers his people from slavery by his grace and power, then makes his covenant of holiness with them afterwards. This Bible study on holiness and sanctification helps us to understand that all of salvation and holiness is by grace and through faith."",""twitter:image"":""https://static.wixstatic.com/media/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/3d5cce_c466bd8efdba4be68aea75f247448aeb%7Emv2.jpg""}","","2026-08-25T06:46:37.600Z","NOT_TESTED",""
